episode:1, reward: -6554.220343848319, mean reward: -129.82, score: -6621.053062516593, epsilon: 0.8917948592675923, total steps: 292
episode:2, reward: 49999, mean reward: 2271.77, score: 49978.99076894582, epsilon: 0.8911777693314274, total steps: 314
episode:3, reward: 49999, mean reward: 16665.35, score: 49996.04241177694, epsilon: 0.8910936557602429, total steps: 317
episode:4, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.89106561977232, total steps: 318
episode:5, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8910375847189144, total steps: 319
episode:6, reward: -125.69770908181641, mean reward: -4.22, score: -270.37705061419484, epsilon: 0.8892452836723771, total steps: 383
episode:7, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8892173092958302, total steps: 384
episode:8, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.889189335851747, total steps: 385
episode:9, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8891613633400964, total steps: 386
episode:10, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8891333917608473, total steps: 387
episode:11, reward: 49999, mean reward: 2940.24, score: 49984.12085434449, epsilon: 0.8886580175409324, total steps: 404
episode:12, reward: 49999, mean reward: 12498.05, score: 49992.21062386543, epsilon: 0.8885462039263335, total steps: 408
episode:13, reward: 49999, mean reward: 1999.11, score: 49977.755153490005, epsilon: 0.8878477065040765, total steps: 433
episode:14, reward: 49999, mean reward: 1189.12, score: 49942.86958005336, epsilon: 0.8866755404226816, total steps: 475
episode:15, reward: 49999, mean reward: 1665.41, score: 49962.31082228556, epsilon: 0.885839283080618, total steps: 505
episode:16, reward: 49999, mean reward: 7142.17, score: 49995.22369981734, epsilon: 0.885644276666199, total steps: 512
episode:17, reward: 49999, mean reward: 3844.57, score: 49979.34958686333, epsilon: 0.8852822425926915, total steps: 525
episode:18, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8852544003153122, total steps: 526
episode:19, reward: 49999, mean reward: 6248.95, score: 49991.62189208454, epsilon: 0.8850316955038561, total steps: 534
episode:20, reward: 49999, mean reward: 9998.38, score: 49991.892586523965, epsilon: 0.8848925351516236, total steps: 539
episode:21, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8848647058642759, total steps: 540
episode:22, reward: 49999, mean reward: 4544.55, score: 49990.038235559194, epsilon: 0.8845586449200611, total steps: 551
episode:23, reward: 49999, mean reward: 2630.12, score: 49972.355530325265, epsilon: 0.8840302584516552, total steps: 570
episode:24, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8840024579063851, total steps: 571
episode:25, reward: 49999, mean reward: 4998.88, score: 49988.8214284084, epsilon: 0.8837245034154052, total steps: 581
episode:26, reward: 49999, mean reward: 16665.34, score: 49996.02269742932, epsilon: 0.8836411351335471, total steps: 584
episode:27, reward: 49999, mean reward: 3331.96, score: 49979.385381524735, epsilon: 0.883224418753757, total steps: 599
episode:28, reward: 49999, mean reward: 4998.35, score: 49983.453725454754, epsilon: 0.8829467235659416, total steps: 609
episode:29, reward: 49999, mean reward: 16665.32, score: 49995.948864958395, epsilon: 0.8828634330581797, total steps: 612
episode:30, reward: 49999, mean reward: 3570.48, score: 49986.78540480939, epsilon: 0.8824748541315541, total steps: 626
episode:31, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8824471054322307, total steps: 627
episode:32, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8824193576578484, total steps: 628
episode:33, reward: 49999, mean reward: 7141.35, score: 49989.48226316285, epsilon: 0.8822251491329373, total steps: 635
episode:34, reward: 49999, mean reward: 12498.69, score: 49994.7457093702, epsilon: 0.8821141931769476, total steps: 639
episode:35, reward: 49999, mean reward: 7141.25, score: 49988.7703145436, epsilon: 0.8819200558487755, total steps: 646
episode:36, reward: 49999, mean reward: 1611.66, score: 49961.350378997486, epsilon: 0.8810608491243261, total steps: 677
episode:37, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8810331475577173, total steps: 678
episode:38, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8810054469144788, total steps: 679
episode:39, reward: -5468.6851562490865, mean reward: -108.51, score: -5534.0584216460775, epsilon: 0.8795939377774291, total steps: 730
episode:40, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8795662851070501, total steps: 731
episode:41, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8795386333584118, total steps: 732
episode:42, reward: -173.96091640747147, mean reward: -4.41, score: -225.146509799501, epsilon: 0.8781296156860623, total steps: 783
episode:43, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8781020118256063, total steps: 784
episode:44, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8780744088852637, total steps: 785
episode:45, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.8780468068650037, total steps: 786
episode:46, reward: 49999, mean reward: 24999.0, score: 49998, epsilon: 0.8779916055846092, total steps: 788
episode:47, reward: 49999, mean reward: 16665.36, score: 49996.07088519573, epsilon: 0.8779088105638707, total steps: 791
episode:48, reward: 49999, mean reward: 12499.65, score: 49998.58204716724, epsilon: 0.8777984300813246, total steps: 795
episode:49, reward: 49999, mean reward: 16665.31, score: 49995.93472723571, epsilon: 0.8777156543771707, total steps: 798
episode:50, reward: 49999, mean reward: 49999.0, score: 49999, epsilon: 0.877688064315195, total steps: 799
episode:51, reward: 49999, mean reward: 16665.35, score: 49996.04330966361, epsilon: 0.8776052996470658, total steps: 802
episode:52, reward: -197.25033356481154, mean reward: -4.51, score: -239.23264594301168, epsilon: 0.8761444877148425, total steps: 855
episode:53, reward: 49999, mean reward: 1999.06, score: 49976.40058241945, epsilon: 0.8754563207511395, total steps: 880
episode:54, reward: 49999, mean reward: 16665.34, score: 49996.02855848295, epsilon: 0.8753737792462084, total steps: 883
