episode:1, reward: -68.38444316073009, mean reward: -5.45, score: -223.24620617946238, epsilon: 0.8959015791623267, total steps: 146
episode:2, reward: -336.8203425146328, mean reward: -336.82, score: -336.8203425146328, epsilon: 0.8958733829129614, total steps: 147
episode:3, reward: -100, mean reward: -18.53, score: -240.95232838011808, epsilon: 0.8955069171870076, total steps: 160
episode:4, reward: -100, mean reward: -9.41, score: -291.7264374915584, epsilon: 0.8946336779572185, total steps: 191
episode:5, reward: -100, mean reward: 4.13, score: 45.43106962205562, epsilon: 0.8943240357131814, total steps: 202
episode:6, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8942958920477213, total steps: 203
episode:7, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8942677493203678, total steps: 204
episode:8, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8942396075310894, total steps: 205
episode:9, reward: -100, mean reward: 0.16, score: 1.877844370825727, epsilon: 0.8939019792182414, total steps: 217
episode:10, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8938738496210966, total steps: 218
episode:11, reward: -52.719800897089875, mean reward: -7.49, score: -224.8349989977351, epsilon: 0.8930303975677899, total steps: 248
episode:12, reward: -100, mean reward: 15.5, score: 154.95924641196927, epsilon: 0.8927494342650859, total steps: 258
episode:13, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.892721343085466, total steps: 259
episode:14, reward: -26.086028164698288, mean reward: -11.59, score: -220.1550712826745, epsilon: 0.892187788544951, total steps: 278
episode:15, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.892159716086543, total steps: 279
episode:16, reward: -33.700014960801866, mean reward: -7.08, score: -226.67364494726968, epsilon: 0.8912618913143896, total steps: 311
episode:17, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8912338497187083, total steps: 312
episode:18, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8912058090577313, total steps: 313
episode:19, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8911777693314274, total steps: 314
episode:20, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8911497305397655, total steps: 315
episode:21, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8911216926827145, total steps: 316
episode:22, reward: -100, mean reward: -24.42, score: -97.66548982950138, epsilon: 0.891009550599995, total steps: 320
episode:23, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8909815174155307, total steps: 321
episode:24, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8909534851654902, total steps: 322
episode:25, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8909254538498426, total steps: 323
episode:26, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8908974234685565, total steps: 324
episode:27, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.890869394021601, total steps: 325
episode:28, reward: -28.84823718776751, mean reward: -6.57, score: -203.72028294586465, epsilon: 0.8900009444240133, total steps: 356
episode:29, reward: -100, mean reward: -39.59, score: -237.55805022046928, epsilon: 0.8898329610340275, total steps: 362
episode:30, reward: -29.93251850539185, mean reward: -6.95, score: -222.3501855900218, epsilon: 0.8889376168107356, total steps: 394
episode:31, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8889096526895798, total steps: 395
episode:32, reward: -336.6083956132319, mean reward: -336.61, score: -336.6083956132319, epsilon: 0.8888816895005458, total steps: 396
episode:33, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8888537272436027, total steps: 397
episode:34, reward: -100, mean reward: 20.67, score: 165.33657216183417, epsilon: 0.888630062739597, total steps: 405
episode:35, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8886021088700727, total steps: 406
episode:36, reward: -31.88455980051589, mean reward: -15.88, score: -206.45954780475014, epsilon: 0.8882387933469442, total steps: 419
episode:37, reward: -29.005871719532255, mean reward: -3.98, score: -222.82601322732728, epsilon: 0.8866755404226816, total steps: 475
episode:38, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8866476517028155, total steps: 476
episode:39, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8866197639125578, total steps: 477
episode:40, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8865918770518776, total steps: 478
episode:41, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.886563991120744, total steps: 479
episode:42, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8865361061191259, total steps: 480
episode:43, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8865082220469924, total steps: 481
episode:44, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8864803389043124, total steps: 482
episode:45, reward: -46.71717123272927, mean reward: -4.4, score: -206.72388785671478, epsilon: 0.8851708790514135, total steps: 529
episode:46, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8851430404860905, total steps: 530
episode:47, reward: -10.872831782206344, mean reward: -3.35, score: -204.08460359082295, epsilon: 0.8834466415604819, total steps: 591
episode:48, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.883418860468784, total steps: 592
episode:49, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8833910803031071, total steps: 593
episode:50, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8833633010634202, total steps: 594
episode:51, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8833355227496925, total steps: 595
episode:52, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8833077453618933, total steps: 596
episode:53, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8832799688999915, total steps: 597
episode:54, reward: -19.282719210158287, mean reward: -3.35, score: -204.26954996565786, epsilon: 0.8815873543711675, total steps: 658
episode:55, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8815596352546763, total steps: 659
episode:56, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8815319170621402, total steps: 660
episode:57, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8815041997935286, total steps: 661
episode:58, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8814764834488105, total steps: 662
episode:59, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.881448768027955, total steps: 663
episode:60, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8814210535309316, total steps: 664
