episode:1, reward: -25.474401859023484, mean reward: -4.83, score: -207.63642269857726, epsilon: 0.8963810592303741, total steps: 129
episode:2, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8963528469986063, total steps: 130
episode:3, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8963246357072304, total steps: 131
episode:4, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8962964253562153, total steps: 132
episode:5, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8962682159455295, total steps: 133
episode:6, reward: -18.96822084725729, mean reward: -6.7, score: -207.71827890894252, epsilon: 0.8953941904466656, total steps: 164
episode:7, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8953660111099756, total steps: 165
episode:8, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8953378327125813, total steps: 166
episode:9, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.895309655254451, total steps: 167
episode:10, reward: -29.45961719149433, mean reward: -1.83, score: -218.33680410496652, epsilon: 0.8919632350764655, total steps: 286
episode:11, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8919351701030483, total steps: 287
episode:12, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8919071060651148, total steps: 288
episode:13, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8918790429626337, total steps: 289
episode:14, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8918509807955736, total steps: 290
episode:15, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8918229195639035, total steps: 291
episode:16, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8917948592675923, total steps: 292
episode:17, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8917667999066086, total steps: 293
episode:18, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8917387414809215, total steps: 294
episode:19, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8917106839904995, total steps: 295
episode:20, reward: -122.52507631533011, mean reward: -2.18, score: -233.06955993898782, epsilon: 0.8887139299391611, total steps: 402
episode:21, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8886859732741101, total steps: 403
episode:22, reward: -81.64281564576272, mean reward: -2.64, score: -214.03185432624736, epsilon: 0.8864245754071894, total steps: 484
episode:23, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8863966950526843, total steps: 485
episode:24, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8863688156275088, total steps: 486
episode:25, reward: -100, mean reward: 1.94, score: 123.89594048944906, epsilon: 0.8845864640052074, total steps: 550
episode:26, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8845586449200611, total steps: 551
episode:27, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8845308267622023, total steps: 552
episode:28, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8845030095316, total steps: 553
episode:29, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8844751932282232, total steps: 554
episode:30, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8844473778520411, total steps: 555
episode:31, reward: -417.11032200650556, mean reward: -417.11, score: -417.11032200650556, epsilon: 0.8844195634030227, total steps: 556
episode:32, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8843917498811373, total steps: 557
episode:33, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8843639372863538, total steps: 558
episode:34, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8843361256186413, total steps: 559
episode:35, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8843083148779688, total steps: 560
episode:36, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8842805050643058, total steps: 561
episode:37, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8842526961776209, total steps: 562
episode:38, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8842248882178836, total steps: 563
episode:39, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8841970811850628, total steps: 564
episode:40, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8841692750791277, total steps: 565
episode:41, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8841414699000472, total steps: 566
episode:42, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8841136656477907, total steps: 567
episode:43, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.884085862322327, total steps: 568
episode:44, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8840580599236255, total steps: 569
episode:45, reward: -100, mean reward: 0.69, score: 28.246741765053343, epsilon: 0.8829189591378991, total steps: 610
episode:46, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8828911956353221, total steps: 611
