episode:1, reward: -9.089462863111494, mean reward: -1.7, score: -201.8934829162613, epsilon: 0.893311454540539, total steps: 238
episode:2, reward: -425.89879416519204, mean reward: -425.9, score: -425.89879416519204, epsilon: 0.893283344627222, total steps: 239
episode:3, reward: -7.397841907689324, mean reward: -1.43, score: -201.42990523744444, epsilon: 0.8893292123971106, total steps: 380
episode:4, reward: -8.639223155759522, mean reward: -2.04, score: -201.81203381144013, epsilon: 0.886563991120744, total steps: 479
episode:5, reward: -417.5795238402217, mean reward: -417.58, score: -417.5795238402217, epsilon: 0.8865361061191259, total steps: 480
episode:6, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8865082220469924, total steps: 481
episode:7, reward: -8.576092945110188, mean reward: -3.97, score: -202.3320784053768, epsilon: 0.8850873661392236, total steps: 532
episode:8, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8850595303576179, total steps: 533
episode:9, reward: -16.224741813288862, mean reward: -3.38, score: -216.10756187192646, epsilon: 0.8832799688999915, total steps: 597
episode:10, reward: -12.56271470451265, mean reward: -1.67, score: -204.34907262600842, epsilon: 0.8798981779952454, total steps: 719
episode:11, reward: -417.32592432998194, mean reward: -417.33, score: -417.32592432998194, epsilon: 0.8798705151836951, total steps: 720
episode:12, reward: -11.400908850517297, mean reward: -2.56, score: -201.92652701318156, epsilon: 0.877688064315195, total steps: 799
episode:13, reward: -100, mean reward: -100.0, score: -100, epsilon: 0.8776604751728728, total steps: 800
episode:14, reward: -425.8850599141468, mean reward: -425.89, score: -425.8850599141468, epsilon: 0.8776328869501733, total steps: 801
episode:15, reward: -5.029182169375311, mean reward: -1.88, score: -200.91538526560507, epsilon: 0.8746862542720298, total steps: 908
episode:16, reward: -13.00425621484547, mean reward: -2.85, score: -205.07464285450436, epsilon: 0.8727093804592516, total steps: 980
episode:17, reward: -5.659229719412441, mean reward: -3.36, score: -205.16803769153103, epsilon: 0.8710382376233049, total steps: 1041
